// ObjectToolbox::init disassembly trace
// fn @ 0x348d70, body=163323 bytes

// === ID → texture pairs ===
// format: <id>	<texture>

1	square_01_001.png
2	square_02_001.png
3	square_03_001.png
32	square_04_001.png
36	square_05_001.png
40	square_06_001.png
44	square_07_001.png
48	square_08_001.png
52	square_09_001.png
56	spike_01_001.png
60	spike_02_001.png
64	spike_03_001.png
68	portal_01_front_001.png
72	portal_02_front_001.png
76	portal_19_front_001.png
80	portal_03_front_001.png
84	portal_04_front_001.png
88	portal_05_front_001.png
92	portal_06_front_001.png
96	portal_07_front_001.png
100	portal_08_front_001.png
104	portal_09_front_001.png
108	pit_01_001.png
112	pit_01_001.png
116	d_spikes_01_001.png
120	d_spikes_02_001.png
124	d_spikes_03_001.png
21	d_spikes_04_001.png
15	rod_01_001.png
16	rod_02_001.png
17	rod_03_001.png
22	edit_eeNoneBtn_001.png
23	edit_eeFBBtn_001.png
24	edit_eeFTBtn_001.png
25	edit_eeFLBtn_001.png
26	edit_eeFRBtn_001.png
27	edit_eeSUBtn_001.png
28	edit_eeSDBtn_001.png
29	edit_eTintCol01Btn_001.png
30	edit_eTintCol01Btn_001.png
915	edit_eTintCol01Btn_001.png
105	edit_eTintCol01Btn_001.png
31	edit_eStartPosBtn_001.png
34	edit_eStartPosBtn_001.png
32	edit_eGhostEBtn_001.png
33	edit_eGhostDBtn_001.png
35	bump_01_001.png
36	ring_01_001.png
1332	bump_02_001.png
1333	ring_02_001.png
40	plank_01_001.png
41	chain_01_001.png
48	d_cloud_01_001.png
49	d_cloud_02_001.png
129	d_cloud_03_001.png
130	d_cloud_04_001.png
131	d_cloud_05_001.png
50	d_ball_01_001.png
51	d_ball_02_001.png
52	d_ball_03_001.png
4	d_ball_04_001.png
8	d_ball_05_001.png
12	d_ball_06_001.png
16	d_ball_07_001.png
20	d_ball_08_001.png
24	d_ball_09_001.png
28	d_small_ball_01_001.png
32	d_small_ball_02_001.png
36	d_small_ball_03_001.png
40	d_small_ball_04_001.png
44	d_small_ball_05_001.png
48	edit_eeFABtn_001.png
52	edit_eeFALBtn_001.png
56	edit_eeFARBtn_001.png
60	edit_eeFRHBtn_001.png
64	edit_eeFRHInvBtn_001.png
68	pit_04_001.png
72	pit_04_001.png
76	square_b_01_001.png
80	square_b_02_001.png
84	square_b_03_001.png
88	square_b_04_001.png
92	square_b_05_001.png
96	square_b_06_001.png
100	square_b_01_001.png
104	square_b_02_001.png
108	square_b_03_001.png
112	square_b_04_001.png
116	square_b_05_001.png
120	square_b_06_001.png
124	blockOutline_14_001.png
128	blockOutline_15_001.png
132	triangle_b_square_01_001.png
136	triangle_b_square_02_001.png
140	gravbump_01_001.png
144	gravring_01_001.png
148	blockOutline_01_001.png
152	lightsquare_01_02_001.png
156	blockOutline_03_001.png
160	blockOutline_06_001.png
164	square_c_05_001.png
168	blockOutline_04_001.png
172	blockOutline_05_001.png
176	lightsquare_04_02_001.png
180	lightsquare_04_02_001.png
184	lightsquare_04_02_001.png
188	square_d_05_001.png
192	lightsquare_04_02_001.png
196	lightsquare_04_sideLine_001.png
200	blockOutline_01_001.png
204	lightsquare_01_02_001.png
208	blockOutline_03_001.png
212	blockOutline_06_001.png
216	lightsquare_01_05_color_001.png
220	blockOutline_04_001.png
224	blockOutline_05_001.png
228	d_cogwheel_01_001.png
232	d_cogwheel_02_001.png
236	d_cogwheel_03_001.png
240	d_cogwheel_04_001.png
244	sawblade_01_001.png
248	sawblade_02_001.png
252	sawblade_03_001.png
256	sawblade_01_001.png
260	sawblade_02_001.png
264	sawblade_03_001.png
268	d_chain_02_001.png
272	d_02_chain_01_001.png
276	d_02_chain_02_001.png
280	d_brick_01_001.png
284	d_brick_02_001.png
288	d_brick_03_001.png
292	portal_10_front_001.png
296	square_f_01_001.png
300	square_f_02_001.png
304	square_f_03_001.png
308	blockOutline_06_001.png
312	square_f_05_001.png
316	square_f_06_001.png
320	square_f_07_001.png
324	d_thorn_01_001.png
328	d_thorn_02_001.png
332	d_thorn_03_001.png
336	d_thorn_04_001.png
340	d_thorn_05_001.png
344	d_thorn_06_001.png
348	d_thorn_01_001.png
352	d_thorn_02_001.png
356	d_thorn_03_001.png
360	d_thorn_04_001.png
364	d_thorn_05_001.png
368	d_thorn_06_001.png
372	pit_b_01_001.png
376	pit_b_01_001.png
380	pit_b_02_001.png
384	pit_b_03_001.png
388	pit_b_04_001.png
392	d_arrow_01_001.png
396	d_arrow_02_001.png
400	d_arrow_03_001.png
404	d_exmark_01_001.png
408	d_qmark_01_001.png
412	d_cross_01_001.png
416	d_circle_02_001.png
420	d_largeSquare_01_001.png
424	d_largeSquare_02_001.png
428	d_art_01_001.png
432	d_art_02_001.png
436	d_wheel_01_001.png
440	d_wheel_02_001.png
444	d_wheel_03_001.png
448	ring_03_001.png
452	bump_03_001.png
456	secretCoin_01_001.png
460	secretCoin_2_01_001.png
464	brick_02_001.png
468	invis_spike_01_001.png
472	invis_spike_03_001.png
476	invis_spike_04_001.png
480	invis_square_01_001.png
484	invis_plank_01_001.png
488	d_spikeart_01_001.png
492	d_spikeart_02_001.png
496	d_spikeart_03_001.png
500	d_spikewheel_01_001.png
504	d_spikewheel_02_001.png
508	d_spikewheel_03_001.png
512	d_wave_01_001.png
516	d_wave_02_001.png
520	d_wave_03_001.png
524	iceSpike_01_001.png
528	iceSpike_02_001.png
532	iceSpike_03_001.png
536	d_cartwheel_01_001.png
540	d_cartwheel_02_001.png
544	d_cartwheel_03_001.png
548	blade_b_01_001.png
552	blade_b_02_001.png
556	blade_b_03_001.png
560	blade_01_001.png
564	blade_02_001.png
568	blade_03_001.png
572	d_art_02_001.png
576	blockOutline_01_001.png
580	lightsquare_01_02_001.png
584	blockOutline_03_001.png
588	blockOutline_06_001.png
592	square_g_05_001.png
596	blockOutline_04_001.png
600	blockOutline_05_001.png
604	blockOutline_06_001.png
608	blockOutline_01_001.png
612	blockOutline_01_001.png
616	square_g_11_001.png
620	square_h_01_001.png
624	square_h_02_001.png
628	square_h_03_001.png
632	square_h_04_001.png
636	square_h_05_001.png
640	square_h_06_001.png
644	square_h_07_001.png
648	square_h_08_001.png
652	square_h_09_001.png
656	square_h_10_001.png
660	fakeSpike_01_001.png
664	fakeSpike_02_001.png
668	fakeSpike_03_001.png
672	fakeSpike_01_001.png
676	fakeSpike_02_001.png
680	fakeSpike_03_001.png
684	fakeSpike_04_001.png
688	square_01_small_001.png
692	plank_01_small_001.png
696	boost_01_001.png
700	boost_02_001.png
704	boost_03_001.png
708	boost_04_001.png
712	boost_05_001.png
716	invis_plank_01_small_001.png
720	invis_spike_02_001.png
724	invis_square_01_small_001.png
728	colorPlank_01_001.png
732	colorSpike_01_001.png
736	colorSpike_02_001.png
740	colorSpike_03_001.png
744	colorSpike_04_001.png
748	colorPlank_01_small_001.png
752	colorSquare_01_small_001.png
756	d_roundCloud_01_001.png
760	d_roundCloud_02_001.png
764	d_roundCloud_03_001.png
768	d_swirve_01_001.png
772	d_swirve_02_001.png
776	d_bar_01_001.png
780	d_bar_02_001.png
784	d_bar_03_001.png
788	d_bar_04_001.png
792	d_bar_07_001.png
796	d_circle_01_001.png
800	d_link_01_001.png
804	d_link_02_001.png
808	d_link_03_001.png
812	d_link_04_001.png
816	d_link_05_001.png
820	square_f_brick01_001.png
824	square_f_brick02_001.png
828	pit_04_02_001.png
832	pit_04_03_001.png
836	pit_04_02_001.png
840	pit_04_03_001.png
844	lightsquare_01_01_001.png
848	lightsquare_01_02_001.png
852	lightsquare_01_03_001.png
856	lightsquare_01_04_001.png
860	lightsquare_01_05_color_001.png
864	lightsquare_01_06_001.png
868	lightsquare_01_07_001.png
872	lightsquare_02_01_001.png
876	lightsquare_02_02_001.png
880	lightsquare_02_03_001.png
884	lightsquare_02_04_001.png
888	lightsquare_02_05_color_001.png
892	lightsquare_02_06_001.png
896	lightsquare_02_07_001.png
900	lightsquare_02_08_001.png
904	lightsquare_02_01_color_001.png
908	lightsquare_02_02_color_001.png
912	lightsquare_02_03_color_001.png
916	lightsquare_02_04_color_001.png
920	lightsquare_02_05_color_001.png
924	lightsquare_02_06_color_001.png
928	lightsquare_02_07_color_001.png
932	lightsquare_02_08_color_001.png
936	lightsquare_03_01_001.png
940	lightsquare_03_02_001.png
944	lightsquare_03_03_001.png
948	lightsquare_03_04_001.png
952	lightsquare_03_05_color_001.png
956	lightsquare_03_06_001.png
960	lightsquare_03_07_001.png
964	lightsquare_04_02_001.png
968	lightsquare_04_02_001.png
972	lightsquare_04_02_001.png
976	lightsquare_04_05_color_001.png
980	lightsquare_04_02_001.png
984	lightsquare_04_sideLine_001.png
988	lightsquare_05_01_001.png
992	lightsquare_05_02_001.png
996	lightsquare_05_03_001.png
1000	lightsquare_05_04_001.png
1004	lightsquare_05_05_color_001.png
1008	lightsquare_05_06_001.png
1012	lightsquare_05_07_001.png
1016	lightsquare_05_brick02_001.png
1020	lightsquare_05_brick03_001.png
1024	d_smallbar_01_001.png
1028	d_smallbar_02_001.png
1032	d_smallbar_03_001.png
1036	d_smallbar_04_001.png
1040	d_smallbar_05_001.png
1044	d_square_01_001.png
1048	d_square_02_001.png
1052	d_square_03_01_001.png
1056	d_square_03_02_001.png
1060	d_square_03_03_001.png
1064	d_square_04_001.png
1068	d_square_05_001.png
1072	portal_11_front_001.png
1076	portal_12_front_001.png
1080	portal_13_front_001.png
1084	blockOutline_14_001.png
1088	blockOutline_15_001.png
1092	triangle_a_02_001.png
1096	triangle_a_04_001.png
1100	triangle_c_02_001.png
1104	triangle_c_04_001.png
1108	lighttriangle_01_02_color_001.png
1112	lighttriangle_01_04_color_001.png
1116	blockOutline_14_001.png
1120	blockOutline_15_001.png
1124	triangle_b_square_01_001.png
1128	triangle_b_square_02_001.png
1132	blockOutline_14_001.png
1136	blockOutline_15_001.png
1140	blockOutline_16_001.png
1144	blockOutline_17_001.png
1148	blockOutline_14_001.png
1152	blockOutline_15_001.png
1156	blockOutline_14_001.png
1160	blockOutline_15_001.png
1164	triangle_f_02_001.png
1168	triangle_f_04_001.png
1172	blockOutline_14_001.png
1176	blockOutline_15_001.png
1180	triangle_g_square_01_001.png
1184	triangle_g_square_02_001.png
1188	triangle_g_square_03_001.png
1192	triangle_h_01_001.png
1196	triangle_h_02_001.png
1200	triangle_h_square_01_001.png
1204	triangle_h_square_02_001.png
1208	blockOutline_14_001.png
1212	blockOutline_15_001.png
1216	blockOutline_14_001.png
1220	blockOutline_15_001.png
1224	blockOutline_14_001.png
1228	blockOutline_15_001.png
1232	blockOutline_16_001.png
1236	blockOutline_17_001.png
1240	blockOutline_14_001.png
1244	blockOutline_15_001.png
1248	pit_01_slope_01_001.png
