# Death-related boundary + threshold DATs

DAT_1406238d8  float=-30.0000  double=-6.44245e+09  i32=-1041235968
DAT_140623000  float=0.00000  double=1000.00  i32=0
DAT_1406234a8  float=450.000  double=1.12410e+19  i32=1138819072
DAT_14062343c  float=300.000  double=4.41353e+17  i32=1133903872
DAT_140623358  float=150.000  double=1.82959e+15  i32=1125515264
DAT_14062304c  float=7.50000  double=73728.0  i32=1089470464
DAT_1406230d8  float=14.7500  double=1.50995e+07  i32=1097596928
DAT_140623164  float=30.0000  double=4.29497e+09  i32=1106247680
DAT_1406232fc  float=120.000  double=3.51844e+14  i32=1123024896
DAT_140623210  float=60.0000  double=1.09951e+12  i32=1114636288
DAT_1406235a0  float=3000.00  double=9.91319e+25  i32=1161527296
DAT_140623294  float=90.0000  double=2.41893e+13  i32=1119092736
DAT_140623068  float=8.00000  double=196608  i32=1090519040
DAT_140622cf0  float=-1.08420e-19  double=0.100000  i32=-1610612736
DAT_140622ca0  float=2.00000  double=0.0400000  i32=1073741824
DAT_140622d18  float=-1.08420e-19  double=0.200000  i32=-1610612736
DAT_140622e98  float=0.00000  double=5.00000  i32=0
DAT_140622ee0  float=0.00000  double=14.0000  i32=0
DAT_140622e90  float=0.00000  double=4.00000  i32=0
DAT_140622e60  float=0.00000  double=2.00000  i32=0
DAT_140622e18  float=0.00000  double=1.00000  i32=0
DAT_140622f00  float=0.00000  double=16.0000  i32=0
DAT_140622e88  float=2.14286  double=3.60000  i32=1074341010
DAT_140622f70  float=0.00000  double=80.0000  i32=0
DAT_140622f30  float=0.00000  double=40.0000  i32=0
DAT_1406243d0  float=NaN  double=NaN  i32=-1
DAT_1406243c0  float=NaN  double=NaN  i32=2147483647
DAT_140622d98  float=0.00000  double=0.500000  i32=0
DAT_1406231e0  float=50.0000  double=2.40518e+11  i32=1112014848
DAT_1406231d0  float=45.0000  double=1.03079e+11  i32=1110704128
DAT_1406238c0  float=-26.0000  double=-1.34218e+09  i32=-1043333120
DAT_1406238b8  float=-24.5000  double=-8.05307e+08  i32=-1044119552
DAT_1406238b0  float=-23.4000  double=-5.36871e+08  i32=-1044696268
DAT_1406238a8  float=-22.5000  double=-4.02653e+08  i32=-1045168128
DAT_1406237c0  float=-5.00000  double=-3072.00  i32=-1063256064
DAT_140623644  float=32767.0  double=3.66706e+34  i32=1191181824
DAT_140623750  float=0.00000  double=-5.00000  i32=0
DAT_140623420  float=264.000  double=2.07166e+17  i32=1132724224
