DAT_1406229bc  float=0.0174533  double=1.37668e-16  i32=1016003125
DAT_140622b74  float=0.700000  double=0.000320730  i32=1060320051
DAT_140622b8c  float=0.750000  double=0.000566406  i32=1061158912
DAT_140622c54  float=1.10000  double=0.0147569  i32=1066192077
DAT_140622cd8  float=1.40000  double=0.0821068  i32=1068708659
DAT_140622d98  float=0.00000  double=0.500000  i32=0
DAT_140623120  float=20.0000  double=1.67772e+08  i32=1101004800
DAT_1406231b0  float=40.0000  double=4.29497e+10  i32=1109393408
DAT_140623200  float=57.2958  double=7.55914e+11  i32=1113927393
DAT_1406236f0  float=-1.00000  double=1.58735e-314  i32=-1082130432
DAT_140623738  float=0.00000  double=-2.00000  i32=0
DAT_1406237c0  float=-5.00000  double=-3072.00  i32=-1063256064
DAT_1406243d0  float=NaN  double=NaN  i32=-1
