# Death-related DAT constants

DAT_140622ca0  float=2.00000  double=0.0400000  i32=1073741824
DAT_140622cf0  float=-1.08420e-19  double=0.100000  i32=-1610612736
DAT_140622d18  float=-1.08420e-19  double=0.200000  i32=-1610612736
DAT_140622e60  float=0.00000  double=2.00000  i32=0
DAT_140622e18  float=0.00000  double=1.00000  i32=0
DAT_140622e98  float=0.00000  double=5.00000  i32=0
DAT_140623028  float=6.00000  double=12288.0  i32=1086324736
DAT_140622bd8  float=0.900000  double=0.00367188  i32=1063675494
DAT_140622ca8  float=1.30000  double=5.27598e-315  i32=1067869798
DAT_140622c08  float=0.978000  double=0.00656250  i32=1064984117
DAT_1406231e0  float=50.0000  double=2.40518e+11  i32=1112014848
DAT_1406243c0  float=NaN  double=NaN  i32=2147483647
DAT_140622a74  float=0.200000  double=2.14577e-08  i32=1045220557
DAT_1406235a0  float=3000.00  double=9.91319e+25  i32=1161527296
DAT_140623294  float=90.0000  double=2.41893e+13  i32=1119092736
DAT_140622e90  float=0.00000  double=4.00000  i32=0
DAT_140622ee0  float=0.00000  double=14.0000  i32=0
DAT_140622f00  float=0.00000  double=16.0000  i32=0
DAT_140622b08  float=0.500000  double=3.54004e-05  i32=1056964608
DAT_140622c24  float=1.00000  double=0.00843750  i32=1065353216
DAT_140622c54  float=1.10000  double=0.0147569  i32=1066192077
DAT_140622b74  float=0.700000  double=0.000320730  i32=1060320051
DAT_140623770  float=0.00000  double=-14.0000  i32=0
DAT_1406232fc  float=120.000  double=3.51844e+14  i32=1123024896
DAT_140623164  float=30.0000  double=4.29497e+09  i32=1106247680
